Date,Open,High,Low,Close,Adj Close,Volume,ID
2000-01-31,566.9099998474121,576.6600036621094,549.3000011444092,560.0900039672852,271.43848514556885,33262328,231
2000-02-29,545.7400035858154,557.9299983978271,528.6399974822998,542.4600028991699,262.8943920135498,43108580,672
2000-03-31,687.959997177124,703.8600044250488,664.7599964141846,687.9000034332275,333.37950706481934,85286299,1242
2000-04-30,630.7700061798096,637.9900016784668,610.4499931335449,626.8000030517578,303.7683801651001,27540281,1510
2000-05-31,735.1300029754639,747.6299953460693,718.1399955749512,738.1000003814697,359.7501459121704,25299282,2231
2000-06-30,724.7000026702881,735.2100048065186,709.310001373291,719.6000022888184,352.95679664611816,29532567,2629
2000-07-31,751.4499969482422,769.7799987792969,740.2400054931641,757.9899940490723,371.7867155075073,22686339,2961
2000-08-31,853.3400077819824,864.560001373291,834.0400009155273,847.2199935913086,415.5531597137451,18438150,3749
2000-09-30,780.2700042724609,794.3300018310547,770.359992980957,785.0400009155273,385.0544967651367,21252894,3885
2000-10-31,853.8000030517578,864.4800071716309,844.4899978637695,856.3199996948242,420.01663970947266,19196331,4543
2000-11-30,837.7800064086914,850.4800033569336,814.8999938964844,829.810001373291,407.0137634277344,23654437,5027
2000-12-31,718.6799964904785,740.370002746582,704.3599987030029,721.060001373291,353.6729049682617,22129399,5250
2001-01-31,839.5300025939941,852.620002746582,823.9200019836426,839.8899993896484,411.95786476135254,21749491,6256
2001-02-28,776.3599967956543,786.7600059509277,764.1499938964844,775.4600105285645,380.3555908203125,18633296,5870
2001-03-31,798.7999877929688,813.6599960327148,780.0499954223633,796.6499938964844,390.7490816116333,54785855,6919
2001-04-30,761.3400039672852,774.1200065612793,750.4599952697754,763.7900047302246,374.6315612792969,23344255,7056
2001-05-31,914.3999900817871,926.0999946594238,903.3899993896484,916.3600044250488,452.2119388580322,33345825,8234
2001-06-30,823.4800071716309,831.7700042724609,811.9300079345703,820.1600036621094,406.93699073791504,26023574,7980
2001-07-31,871.5000038146973,883.0600166320801,863.25,873.090015411377,433.1991939544678,31111657,8833
2001-08-31,865.7700042724609,878.0799980163574,847.9199981689453,859.0400047302246,426.2280044555664,45713788,9752
2001-09-30,614.7499980926514,632.5000019073486,584.9400005340576,603.0899982452393,299.2338523864746,68457701,8910
2001-10-31,747.7899971008301,763.8600044250488,731.0799922943115,751.930004119873,373.0834712982178,40784619,10741
2001-11-30,820.5100059509277,835.8699951171875,803.6800003051758,823.5300064086914,408.60908699035645,45261005,10769
2001-12-31,807.330005645752,818.5200042724609,797.0399932861328,807.7200126647949,400.7646884918213,28164151,10731
2002-01-31,901.2200050354004,917.2700042724609,892.2400016784668,908.3999977111816,450.71885108947754,46995576,12259
2002-02-28,825.930004119873,837.3800010681152,813.5399971008301,827.3899993896484,410.52428817749023,35356309,11090
2002-03-31,947.6199989318848,962.0300025939941,936.620002746582,950.5599975585938,471.637264251709,45346384,12075
2002-04-30,988.8499946594238,998.7200088500977,976.0,986.4300003051758,489.43481063842773,30646923,13123
2002-05-31,1058.9000053405762,1071.9500007629395,1047.0700035095215,1061.4199981689453,529.4714488983154,40330749,14237
2002-06-30,845.7000007629395,860.930004119873,826.7499847412109,840.3800010681152,421.6094398498535,61610262,12810
2002-07-31,913.0700035095215,931.4599990844727,886.7400016784668,908.3899955749512,455.72930335998535,59850579,15226
2002-08-31,858.0000038146973,874.5400085449219,842.370002746582,859.1400146484375,431.0211009979248,43905225,15059
2002-09-30,737.6700019836426,751.5900039672852,716.170000076294,731.5200004577637,366.9955816268921,51830954,14826
2002-10-31,793.480001449585,814.8800048828125,768.7800025939941,794.0799942016602,398.3812475204468,62492247,16744
2002-11-30,710.3199996948242,722.4900054931641,691.0099925994873,706.2000007629395,354.2927932739258,57293040,15750
2002-12-31,689.7500057220459,698.6199970245361,670.7799987792969,681.359992980957,341.83083152770996,37404218,16973
2003-01-31,655.3799991607666,665.7600002288818,637.1100025177002,651.0000019073486,326.5995626449585,57822587,18262
2003-02-28,515.0500068664551,525.9100017547607,504.0600051879883,513.6900005340576,257.71264362335205,47660847,16310
2003-03-31,518.4999980926514,533.4099960327148,501.90000343322754,518.3000011444092,260.0254201889038,73592204,17556
2003-04-30,644.1199989318848,657.1300010681152,633.2299995422363,646.3099994659424,324.2466459274292,49205176,18865
2003-05-31,623.519998550415,631.7000007629395,609.8100032806396,621.3999977111816,314.47437477111816,58016419,19349
2003-06-30,660.3599967956543,675.1599998474121,650.8700008392334,664.7799987792969,339.5387992858887,54918448,18921
2003-07-31,782.0499992370605,793.3500061035156,769.4200019836426,784.5499992370605,400.71175384521484,42826419,21229
2003-08-31,737.9000015258789,745.4500045776367,727.9900016784668,737.4400024414062,376.6501712799072,39952146,19845
2003-09-30,786.810001373291,794.5500030517578,769.7699909210205,783.6800003051758,400.2674045562744,60682613,21263
2003-10-31,790.1500015258789,800.0500106811523,775.8599967956543,790.5199966430664,403.7609519958496,55788064,22747
2003-11-30,731.9099884033203,743.1799964904785,722.0800018310547,734.3599967956543,375.07702445983887,50378844,20210
2003-12-31,846.5799980163574,853.3800010681152,838.6699905395508,844.3499984741211,431.254825592041,41066869,23736
2004-01-31,793.8399963378906,799.580005645752,782.080005645752,789.9100036621094,403.4493827819824,60781135,23199
2004-02-29,680.7199974060059,686.4699897766113,672.330005645752,678.8599967956543,346.73020935058594,52420095,21510
2004-03-31,788.1399955749512,796.390007019043,776.5399932861328,785.2499961853027,401.0692844390869,70451560,25231
2004-04-30,777.7799949645996,787.2000007629395,770.9299964904785,779.4500007629395,398.10692024230957,53952865,24629
2004-05-31,732.0199966430664,739.3600082397461,725.0499992370605,732.3000030517578,377.61261558532715,44449505,23961
2004-06-30,776.0300025939941,782.239990234375,769.8300094604492,776.0300064086914,403.0741958618164,43757302,25575
2004-07-31,786.5099906921387,794.0999984741211,781.9500045776367,786.8000068664551,408.66818046569824,44351278,26059
2004-08-31,756.2899932861328,761.6499977111816,746.8299980163574,753.3299980163574,391.28370475769043,47434900,26543
2004-09-30,759.4300003051758,764.0999908447266,751.9900054931641,757.9999961853027,393.7093276977539,42061292,27027
2004-10-31,709.890007019043,716.6900100708008,704.3000030517578,709.6499977111816,368.5960750579834,51770869,26250
2004-11-30,717.980001449585,723.4400024414062,710.3000011444092,715.0999889373779,371.4268093109131,69036675,27973
2004-12-31,753.0499973297119,758.5400009155273,748.1300010681152,753.649995803833,391.44990158081055,48610136,29762
2005-01-31,701.2400016784668,706.2400016784668,694.7900009155273,701.2299957275391,364.2226905822754,61079776,27636
2005-02-28,654.669994354248,659.4000015258789,649.8500003814697,654.7200012207031,340.0651321411133,48902143,26730
2005-03-31,787.0799942016602,794.8899955749512,782.0999984741211,789.819995880127,410.2367973327637,76092135,31234
2005-04-30,712.9300003051758,719.2500038146973,708.0199966430664,712.919994354248,370.2945251464844,51527659,28980
2005-05-31,747.9799957275391,754.180004119873,745.0100059509277,750.1599960327148,393.95299339294434,47335291,30833
2005-06-30,809.180004119873,816.6999969482422,804.2099952697754,811.310001373291,429.19784927368164,50278486,31317
2005-07-31,814.8800010681152,822.4300003051758,807.7600059509277,814.5600051879883,430.9171600341797,48266556,30345
2005-08-31,853.2200050354004,860.1000022888184,844.9300003051758,851.7700042724609,450.60194969177246,72957746,33741
2005-09-30,822.2600021362305,831.0999984741211,815.6899948120117,823.7699928283691,435.78941917419434,70861169,32769
2005-10-31,797.25,804.0199966430664,790.0800094604492,795.5700073242188,420.8711185455322,55285756,31731
2005-11-30,809.810001373291,818.1300086975098,804.2900047302246,810.5200004577637,428.7799491882324,61613337,33715
2005-12-31,819.8099899291992,824.870002746582,814.9400062561035,819.5499954223633,433.55694580078125,37599408,34199
2006-01-31,811.8299980163574,817.9600028991699,807.120002746582,812.5500030517578,429.8538417816162,57269088,34683
2006-02-28,783.9899978637695,791.6899948120117,778.1800003051758,786.3600044250488,415.99884033203125,61079642,31950
2006-03-31,973.3899917602539,987.9900016784668,962.1600036621094,975.6000022888184,516.1102848052979,86398734,37237
2006-04-30,807.8200035095215,815.1199951171875,798.060001373291,805.2100067138672,425.97082138061523,39749317,29511
2006-05-31,908.0000038146973,917.9600067138672,892.9700012207031,904.3500022888184,482.0996284484863,65517580,36509
2006-06-30,839.1800079345703,845.2500076293945,828.7499961853027,836.0400085449219,449.29557609558105,48107450,36993
2006-07-31,813.8999938964844,822.8400001525879,806.0200042724609,815.2600021362305,438.1282043457031,46546314,35763
2006-08-31,914.9099960327148,921.9000015258789,905.0900039672852,913.9200057983398,491.1490077972412,52012782,39675
